date,open,close,high,low,volume,isOpen
2019/8/13,50.45,49.44,50.63,49.34,13549915,1
2019/8/14,50.14,50.23,50.44,49.7,9280094,1
2019/8/15,49.39,50.05,50.31,48.98,6652814,1
2019/8/16,50.24,51.01,51.49,50.06,9041200,1
2019/8/19,51.94,52.04,52.13,51.14,10693722,1
2019/8/20,51.73,51.37,52.03,51.24,8810354,1
2019/8/21,51.27,51.56,51.56,50.82,8578291,1
2019/8/22,50.84,50.15,50.84,49.61,21134808,1
2019/8/23,49.94,48.83,49.95,48.18,24727223,1
2019/8/26,47.96,48.97,48.99,47.68,14244887,1
2019/8/27,49.06,49.48,49.57,49.04,14496914,1
2019/8/28,50.24,49.75,51.28,49.73,17672616,1
2019/8/29,49.72,49.04,49.72,48.74,9752806,1
2019/8/30,49.52,49.39,49.83,49.1,10195020,1
2019/9/2,49.92,49.66,49.94,49.28,11848187,1
2019/9/3,49.93,49.43,49.93,49.09,9579265,1
2019/9/4,49.42,49.31,49.42,48.95,10716627,1
2019/9/5,49.44,50.08,50.34,49.43,17512190,1
2019/9/6,50.28,50.43,51.14,50.15,14675330,1
2019/9/9,50.79,51.52,51.6,50.5,19506731,1
2019/9/10,51.64,51.09,51.81,50.8,12853105,1
2019/9/11,51.2,51.05,51.62,50.84,11649988,1
2019/9/12,51.24,50.73,51.32,50.3,9926638,1
2019/9/16,51.29,51.1,51.3,50.79,8389046,1
2019/9/17,51.14,49.91,51.17,49.62,10572713,1
2019/9/18,49.94,49.98,50.07,49.75,5334833,1
2019/9/19,50.12,50.13,50.2,49.74,6178328,1
2019/9/20,50.34,50.01,50.38,49.94,6884717,1
2019/9/23,49.84,49.12,49.89,48.79,9605281,1
2019/9/24,49.34,49.81,50.34,49.13,7993164,1
2019/9/25,49.79,48.98,49.79,48.84,8085247,1
2019/9/26,49.24,48.43,49.44,48.42,6960970,1
2019/9/27,48.43,48.52,48.75,48.32,4073087,1
2019/9/30,48.59,48.72,49.07,48.48,4920477,1
2019/10/8,48.74,48.36,49.2,48.24,4867445,1
2019/10/9,48.24,48.03,48.26,47.22,5053301,1
2019/10/10,48.34,48.94,49.14,48.3,6262979,1
2019/10/11,48.44,48.37,48.9,47.91,7583462,1
2019/10/14,48.92,48.79,49.32,48.44,8398438,1
2019/10/15,48.84,47.94,48.94,47.84,7670466,1
2019/10/16,47.94,47.46,48.18,47.42,7159122,1
2019/10/17,47.46,47.46,47.69,47.34,3855745,1
2019/10/18,47.93,46.84,47.93,46.76,7510169,1
2019/10/21,46.84,46.51,46.92,46.15,5289013,1
2019/10/22,46.53,46.74,46.8,46.46,3326481,1
2019/10/23,46.73,46.54,46.89,46.5,3040479,1
2019/10/24,46.44,46.6,46.76,46.44,3160755,1
2019/10/25,46.74,46.98,47.11,46.38,3712099,1
2019/10/28,46.97,47.24,47.4,46.97,5265641,1
2019/10/29,47.28,47.09,47.83,47.04,5517696,1
2019/10/30,45.84,43.91,45.84,43.45,17263026,1
2019/10/31,43.9,42.8,43.9,42.55,11081929,1
2019/11/1,42.75,43.52,43.7,42.25,6738703,1
2019/11/4,43.52,43.38,43.75,43.08,5418554,1
2019/11/5,43.47,43.9,44.3,42.97,7708454,1
2019/11/6,44.05,44.26,44.8,43.48,9683280,1
2019/11/7,43.98,44.63,45.59,43.64,9695424,1
2019/11/8,45.82,44.83,45.89,44.75,9148517,1
2019/11/11,44.75,43.9,44.75,43.58,6174920,1
2019/11/12,43.87,44.05,44.28,43.5,4462394,1
2019/11/13,44.07,43.23,44.12,42.95,5804903,1
2019/11/14,43.45,43.47,43.77,43.27,4044743,1
2019/11/15,43.48,43.07,43.58,42.75,4620578,1
2019/11/18,42.85,42.78,42.98,42.47,5375230,1
2019/11/19,42.51,43.69,43.7,42.51,5352904,1
2019/11/20,43.55,43.05,43.55,42.96,3943514,1
2019/11/21,43.15,43.57,43.82,42.73,5706960,1
2019/11/22,43.68,43.77,44.55,43.4,7035506,1
2019/11/25,44.11,44.82,45.22,43.49,12187589,1
2019/11/26,44.73,44.55,45.03,43.7,9969014,1
2019/11/27,44.41,43.85,44.42,43.8,4839024,1
2019/11/28,43.53,43.13,43.68,43.1,4817904,1
2019/11/29,43.22,43.34,43.57,42.97,4415770,1
2019/12/2,43.34,43.1,43.49,43,4336404,1
2019/12/3,43.1,43.74,43.79,42.94,4710573,1
2019/12/4,43.67,44.08,44.39,43.39,6904427,1
2019/12/5,44.15,43.99,44.36,43.85,6294162,1
2019/12/6,44,43.66,44.09,43.42,6822929,1
2019/12/9,43.66,43.33,43.75,43.22,5833129,1
2019/12/10,43.48,43.38,43.48,43.15,4222488,1
2019/12/11,43.31,44.07,44.18,43.14,8898227,1
2019/12/12,44.04,43.43,44.04,43.18,8102198,1
2019/12/13,43.74,43.32,43.84,43.18,14177446,1
2019/12/16,43.38,44.08,44.1,43.18,12541708,1
2019/12/17,44.12,44.98,45.49,44.11,19070531,1
2019/12/18,45.02,44.65,45.02,44.48,11336797,1
2019/12/19,44.65,44.91,44.94,44.21,10128752,1
2019/12/20,45.17,46.56,47.22,44.99,29019342,1
2019/12/23,46.26,45.48,46.36,45.41,13293790,1
2019/12/24,45.69,46.72,46.79,45.69,15679425,1
2019/12/25,46.99,46.79,48.08,46.45,19206780,1
2019/12/26,46.15,46.35,47.19,46.08,11048103,1
2019/12/27,46.14,45.94,46.79,45.94,10975569,1
2019/12/30,46.29,47.58,47.74,45.96,19671804,1
2019/12/31,47.45,47.61,48.04,46.84,13232822,1
2020/1/2,47.63,48.11,48.41,47.45,15954109,1
2020/1/3,48.14,47.98,48.93,47.62,13009540,1
2020/1/6,47.33,48.22,49.13,47.13,17007968,1
2020/1/7,48.25,47.99,48.44,47.71,9351511,1
2020/1/8,47.49,47.22,48.29,47.09,11111053,1
2020/1/9,47.69,47.59,48.14,47.32,8932640,1
2020/1/10,47.6,46.86,47.6,46.55,10942865,1
2020/1/13,51.55,51.55,51.55,50.45,51946378,1
